Reference, Value, Footprint, Datasheet, PartNo
"R14","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R1","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R4","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R5","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R6","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R7","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R8","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"Q2","MMBT3904","TO_SOT_Packages_SMD:SOT-23","https://www.mouser.com/ds/2/115/ds30036-41708.pdf","MMBT3904-7-F"
"SW2","B2","talentBadge:SW_TL3342F160QG","https://www.mouser.com/ds/2/140/TL3342-346157.pdf","TL3342F160QG"
"SW3","RST","talentBadge:SW_TL3342F160QG","https://www.mouser.com/ds/2/140/TL3342-346157.pdf","TL3342F160QG"
"C4","4.7uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/40/TPS_AUTO-845414.pdf","TPSA475K010T1400"
"C2","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"R15","10K","Resistors_SMD:R_0805_HandSoldering",""
"U1","esp8266-12","",""
"U2","CP2102N","talentBadge:QFN-24-5x5mm_Pitch0.50mm","https://www.mouser.com/ds/2/368/cp2102n-datasheet-1082647.pdf","CP2102N-A01-GQFN24"
"R9","100","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-07100RL"
